item_number,correct,audio_file,SetNr,TargetIns,Comp,LVL,WiT,Condition,TimeStartSec,SongNr,NewStimFileName,ItemNr
voc_item3211_set776_wit_lvl0_comp6_t408_song5,1,voc_item3211_set776_wit_lvl0_comp6_t408_song5.wav,776,Lead,6,0,wit,2,408,5,voc_item3211_set776_wit_lvl0_comp6_t408_song5,3211
git_item3323_set1000_wot_lvl0_comp7_t430_song5,2,git_item3323_set1000_wot_lvl0_comp7_t430_song5.wav,1000,Guitar,6,0,wot,5,430,5,git_item3323_set1000_wot_lvl0_comp7_t430_song5,3323
voc_item2996_set683_wot_lvl0_comp7_t106_song7,2,voc_item2996_set683_wot_lvl0_comp7_t106_song7.wav,683,Lead,6,0,wot,1,106,7,voc_item2996_set683_wot_lvl0_comp7_t106_song7,2996
git_item1057_set317_wot_lvl0_comp7_t176_song7,2,git_item1057_set317_wot_lvl0_comp7_t176_song7.wav,317,Guitar,6,0,wot,5,176,7,git_item1057_set317_wot_lvl0_comp7_t176_song7,1057
p_item2864_set310_wot_lvl0_comp7_t168_song7,2,p_item2864_set310_wot_lvl0_comp7_t168_song7.wav,310,Piano,6,0,wot,9,168,7,p_item2864_set310_wot_lvl0_comp7_t168_song7,2864
b_item3035_set1029_wot_lvl0_comp7_t166_song7,2,b_item3035_set1029_wot_lvl0_comp7_t166_song7.wav,1029,Bass,6,0,wot,13,166,7,b_item3035_set1029_wot_lvl0_comp7_t166_song7,3035
voc_item2456_set655_wot_lvl0_comp7_t174_song8,2,voc_item2456_set655_wot_lvl0_comp7_t174_song8.wav,655,Lead,6,0,wot,1,174,8,voc_item2456_set655_wot_lvl0_comp7_t174_song8,2456
git_item2403_set767_wot_lvl0_comp7_t184_song8,2,git_item2403_set767_wot_lvl0_comp7_t184_song8.wav,767,Guitar,6,0,wot,5,184,8,git_item2403_set767_wot_lvl0_comp7_t184_song8,2403
b_item748_set332_wit_lvl-15_comp3_t98_song10,1,b_item748_set332_wit_lvl-15_comp3_t98_song10.wav,332,Bass,3,-15,wit,16,98,10,b_item748_set332_wit_lvl-15_comp3_t98_song10,748
b_item748_set332_wit_lvl-10_comp3_t98_song10,1,b_item748_set332_wit_lvl-10_comp3_t98_song10.wav,332,Bass,3,-10,wit,16,98,10,b_item748_set332_wit_lvl-10_comp3_t98_song10,748
b_item748_set332_wit_lvl-5_comp3_t98_song10,1,b_item748_set332_wit_lvl-5_comp3_t98_song10.wav,332,Bass,3,-5,wit,16,98,10,b_item748_set332_wit_lvl-5_comp3_t98_song10,748
b_item748_set332_wit_lvl0_comp3_t98_song10,1,b_item748_set332_wit_lvl0_comp3_t98_song10.wav,332,Bass,3,0,wit,16,98,10,b_item748_set332_wit_lvl0_comp3_t98_song10,748
p_item238_set21_wit_lvl-15_comp3_t122_song12,1,p_item238_set21_wit_lvl-15_comp3_t122_song12.wav,21,Piano,3,-15,wit,12,122,12,p_item238_set21_wit_lvl-15_comp3_t122_song12,238
p_item238_set21_wit_lvl-10_comp3_t122_song12,1,p_item238_set21_wit_lvl-10_comp3_t122_song12.wav,21,Piano,3,-10,wit,12,122,12,p_item238_set21_wit_lvl-10_comp3_t122_song12,238
p_item238_set21_wit_lvl-5_comp3_t122_song12,1,p_item238_set21_wit_lvl-5_comp3_t122_song12.wav,21,Piano,3,-5,wit,12,122,12,p_item238_set21_wit_lvl-5_comp3_t122_song12,238
p_item238_set21_wit_lvl0_comp3_t122_song12,1,p_item238_set21_wit_lvl0_comp3_t122_song12.wav,21,Piano,3,0,wit,12,122,12,p_item238_set21_wit_lvl0_comp3_t122_song12,238
git_item2405_set769_wot_lvl0_comp7_t200_song13,2,git_item2405_set769_wot_lvl0_comp7_t200_song13.wav,769,Guitar,6,0,wot,5,200,13,git_item2405_set769_wot_lvl0_comp7_t200_song13,2405
p_item2889_set314_wot_lvl0_comp7_t214_song13,2,p_item2889_set314_wot_lvl0_comp7_t214_song13.wav,314,Piano,6,0,wot,9,214,13,p_item2889_set314_wot_lvl0_comp7_t214_song13,2889
p_item3189_set389_wot_lvl0_comp7_t90_song13,2,p_item3189_set389_wot_lvl0_comp7_t90_song13.wav,389,Piano,6,0,wot,9,90,13,p_item3189_set389_wot_lvl0_comp7_t90_song13,3189
p_item3487_set440_wit_lvl-15_comp3_t242_song13,1,p_item3487_set440_wit_lvl-15_comp3_t242_song13.wav,440,Piano,3,-15,wit,12,242,13,p_item3487_set440_wit_lvl-15_comp3_t242_song13,3487
p_item3487_set440_wit_lvl-10_comp3_t242_song13,1,p_item3487_set440_wit_lvl-10_comp3_t242_song13.wav,440,Piano,3,-10,wit,12,242,13,p_item3487_set440_wit_lvl-10_comp3_t242_song13,3487
p_item3487_set440_wit_lvl-5_comp3_t242_song13,1,p_item3487_set440_wit_lvl-5_comp3_t242_song13.wav,440,Piano,3,-5,wit,12,242,13,p_item3487_set440_wit_lvl-5_comp3_t242_song13,3487
p_item3487_set440_wit_lvl0_comp3_t242_song13,1,p_item3487_set440_wit_lvl0_comp3_t242_song13.wav,440,Piano,3,0,wit,12,242,13,p_item3487_set440_wit_lvl0_comp3_t242_song13,3487
voc_item2528_set496_wit_lvl-15_comp6_t232_song14,1,voc_item2528_set496_wit_lvl-15_comp6_t232_song14.wav,496,Lead,6,-15,wit,2,232,14,voc_item2528_set496_wit_lvl-15_comp6_t232_song14,2528
voc_item2528_set496_wit_lvl-10_comp6_t232_song14,1,voc_item2528_set496_wit_lvl-10_comp6_t232_song14.wav,496,Lead,6,-10,wit,2,232,14,voc_item2528_set496_wit_lvl-10_comp6_t232_song14,2528
voc_item2528_set496_wit_lvl-5_comp6_t232_song14,1,voc_item2528_set496_wit_lvl-5_comp6_t232_song14.wav,496,Lead,6,-5,wit,2,232,14,voc_item2528_set496_wit_lvl-5_comp6_t232_song14,2528
voc_item2528_set496_wit_lvl0_comp6_t232_song14,1,voc_item2528_set496_wit_lvl0_comp6_t232_song14.wav,496,Lead,6,0,wit,2,232,14,voc_item2528_set496_wit_lvl0_comp6_t232_song14,2528
git_item3842_set1090_wot_lvl0_comp7_t274_song14,2,git_item3842_set1090_wot_lvl0_comp7_t274_song14.wav,1090,Guitar,6,0,wot,5,274,14,git_item3842_set1090_wot_lvl0_comp7_t274_song14,3842
b_item3645_set1158_wot_lvl0_comp7_t306_song14,2,b_item3645_set1158_wot_lvl0_comp7_t306_song14.wav,1158,Bass,6,0,wot,13,306,14,b_item3645_set1158_wot_lvl0_comp7_t306_song14,3645
git_item1831_set554_wit_lvl-15_comp3_t54_song15,1,git_item1831_set554_wit_lvl-15_comp3_t54_song15.wav,554,Guitar,3,-15,wit,8,54,15,git_item1831_set554_wit_lvl-15_comp3_t54_song15,1831
git_item1831_set554_wit_lvl-10_comp3_t54_song15,1,git_item1831_set554_wit_lvl-10_comp3_t54_song15.wav,554,Guitar,3,-10,wit,8,54,15,git_item1831_set554_wit_lvl-10_comp3_t54_song15,1831
git_item1831_set554_wit_lvl-5_comp3_t54_song15,1,git_item1831_set554_wit_lvl-5_comp3_t54_song15.wav,554,Guitar,3,-5,wit,8,54,15,git_item1831_set554_wit_lvl-5_comp3_t54_song15,1831
git_item1831_set554_wit_lvl0_comp3_t54_song15,1,git_item1831_set554_wit_lvl0_comp3_t54_song15.wav,554,Guitar,3,0,wit,8,54,15,git_item1831_set554_wit_lvl0_comp3_t54_song15,1831
b_item1754_set765_wot_lvl0_comp4_t46_song17,2,b_item1754_set765_wot_lvl0_comp4_t46_song17.wav,765,Bass,3,0,wot,15,46,17,b_item1754_set765_wot_lvl0_comp4_t46_song17,1754
p_item2163_set206_wot_lvl0_comp7_t134_song19,2,p_item2163_set206_wot_lvl0_comp7_t134_song19.wav,206,Piano,6,0,wot,9,134,19,p_item2163_set206_wot_lvl0_comp7_t134_song19,2163
p_item2851_set307_wit_lvl-15_comp6_t84_song19,1,p_item2851_set307_wit_lvl-15_comp6_t84_song19.wav,307,Piano,6,-15,wit,10,84,19,p_item2851_set307_wit_lvl-15_comp6_t84_song19,2851
p_item2851_set307_wit_lvl-10_comp6_t84_song19,1,p_item2851_set307_wit_lvl-10_comp6_t84_song19.wav,307,Piano,6,-10,wit,10,84,19,p_item2851_set307_wit_lvl-10_comp6_t84_song19,2851
p_item2851_set307_wit_lvl-5_comp6_t84_song19,1,p_item2851_set307_wit_lvl-5_comp6_t84_song19.wav,307,Piano,6,-5,wit,10,84,19,p_item2851_set307_wit_lvl-5_comp6_t84_song19,2851
