item_nr,item_nr_MSA,item_nr_stim,item_number,answer,audio_file,correct,condition,condition_theoretical,level,target_instrument,complexity,with_target_in_mix,time_song,song_nr,practice_item,old_audio_file_name,set_nr,discrimination,guessing,inattention,difficulty,item_difficulty,condition_difficulty,number_of_datapoints_per_cond,number_of_datapoints_per_item,flagged_item
61,333,3189,p_item3189_set389_wot_lvl0_comp7_t90_song13,2,p_item3189_set389_wot_lvl0_comp7_t90_song13.wav,2,31,7,0,Piano,6,no,90,13,no,Piano_ItemNr(3189)_SetNr(389)_WoT_Level(0)_Complexity(7)_Time(90)_SongNr(13).wav,93,2.086082357,0.43384494,0.997392447,0.471022892,0.471022892,0.236472021,2322,185,no
62,338,2163,p_item2163_set206_wot_lvl0_comp7_t134_song19,2,p_item2163_set206_wot_lvl0_comp7_t134_song19.wav,2,31,7,0,Piano,6,no,134,19,no,Piano_ItemNr(2163)_SetNr(206)_WoT_Level(0)_Complexity(7)_Time(134)_SongNr(19).wav,98,2.086082357,0.43384494,0.997392447,0.455751384,0.455751384,0.236472021,2322,180,no
63,381,2885,p_item2885_set313_wot_lvl0_comp7_t104_song83,2,p_item2885_set313_wot_lvl0_comp7_t104_song83.wav,2,31,7,0,Piano,6,no,104,83,no,Piano_ItemNr(2885)_SetNr(313)_WoT_Level(0)_Complexity(7)_Time(104)_SongNr(83).wav,141,2.086082357,0.43384494,0.997392447,0.393579058,0.393579058,0.236472021,2322,181,no
64,387,3423,p_item3423_set428_wot_lvl0_comp7_t226_song97,2,p_item3423_set428_wot_lvl0_comp7_t226_song97.wav,2,31,7,0,Piano,6,no,226,97,no,Piano_ItemNr(3423)_SetNr(428)_WoT_Level(0)_Complexity(7)_Time(226)_SongNr(97).wav,147,2.086082357,0.43384494,0.997392447,2.05801307,2.05801307,0.236472021,2322,184,no
65,388,1231,p_item1231_set109_wot_lvl0_comp7_t250_song97,2,p_item1231_set109_wot_lvl0_comp7_t250_song97.wav,2,31,7,0,Piano,6,no,250,97,no,Piano_ItemNr(1231)_SetNr(109)_WoT_Level(0)_Complexity(7)_Time(250)_SongNr(97).wav,148,2.086082357,0.43384494,0.997392447,0.500355333,0.500355333,0.236472021,2322,447,no
66,393,3100,p_item3100_set362_wot_lvl0_comp7_t272_song102,2,p_item3100_set362_wot_lvl0_comp7_t272_song102.wav,2,31,7,0,Piano,6,no,272,102,no,Piano_ItemNr(3100)_SetNr(362)_WoT_Level(0)_Complexity(7)_Time(272)_SongNr(102).wav,153,2.086082357,0.43384494,0.997392447,-0.630940045,-0.630940045,0.236472021,2322,207,no
67,394,1573,p_item1573_set145_wot_lvl0_comp7_t198_song103,2,p_item1573_set145_wot_lvl0_comp7_t198_song103.wav,2,31,7,0,Piano,6,no,198,103,no,Piano_ItemNr(1573)_SetNr(145)_WoT_Level(0)_Complexity(7)_Time(198)_SongNr(103).wav,154,2.086082357,0.43384494,0.997392447,-0.745448109,-0.745448109,0.236472021,2322,246,no
68,396,3062,p_item3062_set354_wot_lvl0_comp7_t228_song104,2,p_item3062_set354_wot_lvl0_comp7_t228_song104.wav,2,31,7,0,Piano,6,no,228,104,no,Piano_ItemNr(3062)_SetNr(354)_WoT_Level(0)_Complexity(7)_Time(228)_SongNr(104).wav,156,2.086082357,0.43384494,0.997392447,-0.762832967,-0.762832967,0.236472021,2322,185,no
69,326,3035,b_item3035_set1029_wot_lvl0_comp7_t166_song7,2,b_item3035_set1029_wot_lvl0_comp7_t166_song7.wav,2,26,8,0,Bass,6,no,166,7,no,Bass_ItemNr(3035)_SetNr(1029)_WoT_Level(0)_Complexity(7)_Time(166)_SongNr(7).wav,86,2.086082357,0.43384494,0.997392447,-0.629860919,-0.629860919,-0.109736873,2322,208,no
70,334,3645,b_item3645_set1158_wot_lvl0_comp7_t306_song14,2,b_item3645_set1158_wot_lvl0_comp7_t306_song14.wav,2,26,8,0,Bass,6,no,306,14,no,Bass_ItemNr(3645)_SetNr(1158)_WoT_Level(0)_Complexity(7)_Time(306)_SongNr(14).wav,94,2.086082357,0.43384494,0.997392447,0.844925145,0.844925145,-0.109736873,2322,275,no
71,344,395,b_item395_set166_wot_lvl0_comp7_t224_song27,2,b_item395_set166_wot_lvl0_comp7_t224_song27.wav,2,26,8,0,Bass,6,no,224,27,no,Bass_ItemNr(395)_SetNr(166)_WoT_Level(0)_Complexity(7)_Time(224)_SongNr(27).wav,104,2.086082357,0.43384494,0.997392447,-0.720323396,-0.720323396,-0.109736873,2322,162,no
72,347,3622,b_item3622_set1150_wot_lvl0_comp7_t182_song31,2,b_item3622_set1150_wot_lvl0_comp7_t182_song31.wav,2,26,8,0,Bass,6,no,182,31,no,Bass_ItemNr(3622)_SetNr(1150)_WoT_Level(0)_Complexity(7)_Time(182)_SongNr(31).wav,107,2.086082357,0.43384494,0.997392447,0.092134677,0.092134677,-0.109736873,2322,269,no
73,380,2234,b_item2234_set922_wot_lvl0_comp7_t110_song83,2,b_item2234_set922_wot_lvl0_comp7_t110_song83.wav,2,26,8,0,Bass,6,no,110,83,no,Bass_ItemNr(2234)_SetNr(922)_WoT_Level(0)_Complexity(7)_Time(110)_SongNr(83).wav,140,2.086082357,0.43384494,0.997392447,-0.557107348,-0.557107348,-0.109736873,2322,318,no
74,386,1926,b_item1926_set833_wot_lvl0_comp7_t252_song97,2,b_item1926_set833_wot_lvl0_comp7_t252_song97.wav,2,26,8,0,Bass,6,no,252,97,no,Bass_ItemNr(1926)_SetNr(833)_WoT_Level(0)_Complexity(7)_Time(252)_SongNr(97).wav,146,2.086082357,0.43384494,0.997392447,-0.502380181,-0.502380181,-0.109736873,2322,170,no
75,389,3427,b_item3427_set1102_wot_lvl0_comp7_t216_song101,2,b_item3427_set1102_wot_lvl0_comp7_t216_song101.wav,2,26,8,0,Bass,6,no,216,101,no,Bass_ItemNr(3427)_SetNr(1102)_WoT_Level(0)_Complexity(7)_Time(216)_SongNr(101).wav,149,2.086082357,0.43384494,0.997392447,-0.867840043,-0.867840043,-0.109736873,2322,357,no
76,391,3691,b_item3691_set1173_wot_lvl0_comp7_t130_song102,2,b_item3691_set1173_wot_lvl0_comp7_t130_song102.wav,2,26,8,0,Bass,6,no,130,102,no,Bass_ItemNr(3691)_SetNr(1173)_WoT_Level(0)_Complexity(7)_Time(130)_SongNr(102).wav,151,2.086082357,0.43384494,0.997392447,0.48317976,0.48317976,-0.109736873,2322,191,no
77,395,3621,b_item3621_set1149_wot_lvl0_comp7_t232_song104,2,b_item3621_set1149_wot_lvl0_comp7_t232_song104.wav,2,26,8,0,Bass,6,no,232,104,no,Bass_ItemNr(3621)_SetNr(1149)_WoT_Level(0)_Complexity(7)_Time(232)_SongNr(104).wav,155,2.086082357,0.43384494,0.997392447,-0.346161818,-0.346161818,-0.109736873,2322,202,no
78,399,337,b_item337_set140_wot_lvl0_comp7_t138_song115,2,b_item337_set140_wot_lvl0_comp7_t138_song115.wav,2,26,8,0,Bass,6,no,138,115,no,Bass_ItemNr(337)_SetNr(140)_WoT_Level(0)_Complexity(7)_Time(138)_SongNr(115).wav,159,2.086082357,0.43384494,0.997392447,0.766280941,0.766280941,-0.109736873,2322,170,no
79,60,2389,voc_item2389_set447_wit_lvl0_comp3_t20_song21,1,voc_item2389_set447_wit_lvl0_comp3_t20_song21.wav,1,2,9,0,Lead,3,yes,20,21,no,Lead_ItemNr(2389)_SetNr(447)_WiT_Level(-15)_Complexity(3)_Time(20)_SongNr(21).wav,15,2.086082357,0.43384494,0.997392447,-2.600558867,-2.600558867,-2.094545719,516,59,no
80,100,3352,voc_item3352_set852_wit_lvl0_comp3_t86_song36,1,voc_item3352_set852_wit_lvl0_comp3_t86_song36.wav,1,2,9,0,Lead,3,yes,86,36,no,Lead_ItemNr(3352)_SetNr(852)_WiT_Level(-15)_Complexity(3)_Time(86)_SongNr(36).wav,25,2.086082357,0.43384494,0.997392447,-1.173456011,-1.173456011,-2.094545719,516,41,no
81,160,180,voc_item180_set034_wit_lvl0_comp3_t50_song51,1,voc_item180_set034_wit_lvl0_comp3_t50_song51.wav,1,2,9,0,Lead,3,yes,50,51,no,Lead_ItemNr(180)_SetNr(034)_WiT_Level(-15)_Complexity(3)_Time(50)_SongNr(51).wav,40,2.086082357,0.43384494,0.997392447,-2.20932554,-2.20932554,-2.094545719,516,50,no
82,188,1003,voc_item1003_set177_wit_lvl0_comp3_t218_song55,1,voc_item1003_set177_wit_lvl0_comp3_t218_song55.wav,1,2,9,0,Lead,3,yes,218,55,no,Lead_ItemNr(1003)_SetNr(177)_WiT_Level(-15)_Complexity(3)_Time(218)_SongNr(55).wav,47,2.086082357,0.43384494,0.997392447,-1.651954134,-1.651954134,-2.094545719,516,36,no
83,200,1261,voc_item1261_set217_wit_lvl0_comp3_t38_song71,1,voc_item1261_set217_wit_lvl0_comp3_t38_song71.wav,1,2,9,0,Lead,3,yes,38,71,no,Lead_ItemNr(1261)_SetNr(217)_WiT_Level(-15)_Complexity(3)_Time(38)_SongNr(71).wav,50,2.086082357,0.43384494,0.997392447,-2.644189254,-2.644189254,-2.094545719,516,55,no
84,228,1578,voc_item1578_set270_wit_lvl0_comp3_t154_song86,1,voc_item1578_set270_wit_lvl0_comp3_t154_song86.wav,1,2,9,0,Lead,3,yes,154,86,no,Lead_ItemNr(1578)_SetNr(270)_WiT_Level(-15)_Complexity(3)_Time(154)_SongNr(86).wav,57,2.086082357,0.43384494,0.997392447,-1.461971639,-1.461971639,-2.094545719,516,130,no
85,236,3510,voc_item3510_set924_wit_lvl0_comp3_t120_song87,1,voc_item3510_set924_wit_lvl0_comp3_t120_song87.wav,1,2,9,0,Lead,3,yes,120,87,no,Lead_ItemNr(3510)_SetNr(924)_WiT_Level(-15)_Complexity(3)_Time(120)_SongNr(87).wav,59,2.086082357,0.43384494,0.997392447,-1.622640367,-1.622640367,-2.094545719,516,52,no
86,316,3496,voc_item3496_set919_wit_lvl0_comp3_t194_song116,1,voc_item3496_set919_wit_lvl0_comp3_t194_song116.wav,1,2,9,0,Lead,3,yes,194,116,no,Lead_ItemNr(3496)_SetNr(919)_WiT_Level(-15)_Complexity(3)_Time(194)_SongNr(116).wav,79,2.086082357,0.43384494,0.997392447,-2.993630685,-2.993630685,-2.094545719,516,93,no
87,44,1831,git_item1831_set554_wit_lvl0_comp3_t54_song15,1,git_item1831_set554_wit_lvl0_comp3_t54_song15.wav,1,3,10,0,Guitar,3,yes,54,15,no,Guitar_ItemNr(1831)_SetNr(554)_WiT_Level(-15)_Complexity(3)_Time(54)_SongNr(15).wav,11,2.086082357,0.43384494,0.997392447,-2.192881124,-2.192881124,-1.896034905,538,66,no
88,132,820,git_item820_set249_wit_lvl0_comp3_t182_song41,1,git_item820_set249_wit_lvl0_comp3_t182_song41.wav,1,3,10,0,Guitar,3,yes,182,41,no,Guitar_ItemNr(820)_SetNr(249)_WiT_Level(-15)_Complexity(3)_Time(182)_SongNr(41).wav,33,2.086082357,0.43384494,0.997392447,-2.522109879,-2.522109879,-1.896034905,538,49,no
89,140,269,git_item269_set079_wit_lvl0_comp3_t80_song43,1,git_item269_set079_wit_lvl0_comp3_t80_song43.wav,1,3,10,0,Guitar,3,yes,80,43,no,Guitar_ItemNr(269)_SetNr(079)_WiT_Level(-15)_Complexity(3)_Time(80)_SongNr(43).wav,35,2.086082357,0.43384494,0.997392447,-1.490500972,-1.490500972,-1.896034905,538,51,no
90,144,2195,git_item2195_set676_wit_lvl0_comp3_t168_song45,1,git_item2195_set676_wit_lvl0_comp3_t168_song45.wav,1,3,10,0,Guitar,3,yes,168,45,no,Guitar_ItemNr(2195)_SetNr(676)_WiT_Level(-15)_Complexity(3)_Time(168)_SongNr(45).wav,36,2.086082357,0.43384494,0.997392447,-2.159270603,-2.159270603,-1.896034905,538,41,no
91,192,1490,git_item1490_set453_wit_lvl0_comp3_t32_song64,1,git_item1490_set453_wit_lvl0_comp3_t32_song64.wav,1,3,10,0,Guitar,3,yes,32,64,no,Guitar_ItemNr(1490)_SetNr(453)_WiT_Level(-15)_Complexity(3)_Time(32)_SongNr(64).wav,48,2.086082357,0.43384494,0.997392447,-2.512763671,-2.512763671,-1.896034905,538,54,no
92,240,1553,git_item1553_set474_wit_lvl0_comp3_t0_song92,1,git_item1553_set474_wit_lvl0_comp3_t0_song92.wav,1,3,10,0,Guitar,3,yes,0,92,no,Guitar_ItemNr(1553)_SetNr(474)_WiT_Level(-15)_Complexity(3)_Time(0)_SongNr(92).wav,60,2.086082357,0.43384494,0.997392447,-2.584156789,-2.584156789,-1.896034905,538,59,no
93,280,1408,git_item1408_set426_wit_lvl0_comp3_t142_song105,1,git_item1408_set426_wit_lvl0_comp3_t142_song105.wav,1,3,10,0,Guitar,3,yes,142,105,no,Guitar_ItemNr(1408)_SetNr(426)_WiT_Level(-15)_Complexity(3)_Time(142)_SongNr(105).wav,70,2.086082357,0.43384494,0.997392447,-0.404685589,-0.404685589,-1.896034905,538,79,no
94,300,2628,git_item2628_set867_wit_lvl0_comp3_t100_song112,1,git_item2628_set867_wit_lvl0_comp3_t100_song112.wav,1,3,10,0,Guitar,3,yes,100,112,no,Guitar_ItemNr(2628)_SetNr(867)_WiT_Level(-15)_Complexity(3)_Time(100)_SongNr(112).wav,75,2.086082357,0.43384494,0.997392447,-2.420195778,-2.420195778,-1.896034905,538,56,no
95,304,2174,git_item2174_set667_wit_lvl0_comp3_t12_song113,1,git_item2174_set667_wit_lvl0_comp3_t12_song113.wav,1,3,10,0,Guitar,3,yes,12,113,no,Guitar_ItemNr(2174)_SetNr(667)_WiT_Level(-15)_Complexity(3)_Time(12)_SongNr(113).wav,76,2.086082357,0.43384494,0.997392447,-2.736463546,-2.736463546,-1.896034905,538,39,no
96,308,1676,git_item1676_set505_wit_lvl0_comp3_t162_song114,1,git_item1676_set505_wit_lvl0_comp3_t162_song114.wav,1,3,10,0,Guitar,3,yes,162,114,no,Guitar_ItemNr(1676)_SetNr(505)_WiT_Level(-15)_Complexity(3)_Time(162)_SongNr(114).wav,77,2.086082357,0.43384494,0.997392447,-2.023501202,-2.023501202,-1.896034905,538,44,no
97,32,238,p_item238_set021_wit_lvl0_comp3_t122_song12,1,p_item238_set021_wit_lvl0_comp3_t122_song12.wav,1,1,11,0,Piano,3,yes,122,12,no,Piano_ItemNr(238)_SetNr(021)_WiT_Level(-15)_Complexity(3)_Time(122)_SongNr(12).wav,8,2.086082357,0.43384494,0.997392447,-2.199390046,-2.199390046,-2.077952423,652,147,no
98,36,3487,p_item3487_set440_wit_lvl0_comp3_t242_song13,1,p_item3487_set440_wit_lvl0_comp3_t242_song13.wav,1,1,11,0,Piano,3,yes,242,13,no,Piano_ItemNr(3487)_SetNr(440)_WiT_Level(-15)_Complexity(3)_Time(242)_SongNr(13).wav,9,2.086082357,0.43384494,0.997392447,-1.16023354,-1.16023354,-2.077952423,652,33,no
99,64,1150,p_item1150_set099_wit_lvl0_comp3_t46_song21,1,p_item1150_set099_wit_lvl0_comp3_t46_song21.wav,1,1,11,0,Piano,3,yes,46,21,no,Piano_ItemNr(1150)_SetNr(099)_WiT_Level(-15)_Complexity(3)_Time(46)_SongNr(21).wav,16,2.086082357,0.43384494,0.997392447,-2.766867524,-2.766867524,-2.077952423,652,50,no
100,68,2709,p_item2709_set276_wit_lvl0_comp3_t32_song23,1,p_item2709_set276_wit_lvl0_comp3_t32_song23.wav,1,1,11,0,Piano,3,yes,32,23,no,Piano_ItemNr(2709)_SetNr(276)_WiT_Level(-15)_Complexity(3)_Time(32)_SongNr(23).wav,17,2.086082357,0.43384494,0.997392447,-2.989510318,-2.989510318,-2.077952423,652,70,no
101,76,3079,p_item3079_set358_wit_lvl0_comp3_t70_song28,1,p_item3079_set358_wit_lvl0_comp3_t70_song28.wav,1,1,11,0,Piano,3,yes,70,28,no,Piano_ItemNr(3079)_SetNr(358)_WiT_Level(-15)_Complexity(3)_Time(70)_SongNr(28).wav,19,2.086082357,0.43384494,0.997392447,-1.650452865,-1.650452865,-2.077952423,652,54,no
102,128,3703,p_item3703_set470_wit_lvl0_comp3_t114_song40,1,p_item3703_set470_wit_lvl0_comp3_t114_song40.wav,1,1,11,0,Piano,3,yes,114,40,no,Piano_ItemNr(3703)_SetNr(470)_WiT_Level(-15)_Complexity(3)_Time(114)_SongNr(40).wav,32,2.086082357,0.43384494,0.997392447,-2.346831248,-2.346831248,-2.077952423,652,49,no
103,136,1924,p_item1924_set180_wit_lvl0_comp3_t102_song42,1,p_item1924_set180_wit_lvl0_comp3_t102_song42.wav,1,1,11,0,Piano,3,yes,102,42,no,Piano_ItemNr(1924)_SetNr(180)_WiT_Level(-15)_Complexity(3)_Time(102)_SongNr(42).wav,34,2.086082357,0.43384494,0.997392447,-0.229760588,-0.229760588,-2.077952423,652,53,no
104,179,330,p_item330_set029_wit_lvl0_comp3_t54_song53,1,p_item330_set029_wit_lvl0_comp3_t54_song53.wav,1,1,11,0,Piano,3,yes,54,53,no,Piano_ItemNr(330)_SetNr(029)_WiT_Level(-15)_Complexity(3)_Time(54)_SongNr(53).wav,45,2.086082357,0.43384494,0.997392447,-1.502781819,-1.502781819,-2.077952423,652,114,no
105,212,1570,p_item1570_set144_wit_lvl0_comp3_t46_song81,1,p_item1570_set144_wit_lvl0_comp3_t46_song81.wav,1,1,11,0,Piano,3,yes,46,81,no,Piano_ItemNr(1570)_SetNr(144)_WiT_Level(-15)_Complexity(3)_Time(46)_SongNr(81).wav,53,2.086082357,0.43384494,0.997392447,-3.000375552,-3.000375552,-2.077952423,652,30,no
106,276,3775,p_item3775_set480_wit_lvl0_comp3_t122_song104,1,p_item3775_set480_wit_lvl0_comp3_t122_song104.wav,1,1,11,0,Piano,3,yes,122,104,no,Piano_ItemNr(3775)_SetNr(480)_WiT_Level(-15)_Complexity(3)_Time(122)_SongNr(104).wav,69,2.086082357,0.43384494,0.997392447,-0.91530564,-0.91530564,-2.077952423,652,52,no
107,28,748,b_item748_set332_wit_lvl0_comp3_t98_song10,1,b_item748_set332_wit_lvl0_comp3_t98_song10.wav,1,22,12,0,Bass,3,yes,98,10,no,Bass_ItemNr(748)_SetNr(332)_WiT_Level(-15)_Complexity(3)_Time(98)_SongNr(10).wav,7,2.086082357,0.43384494,0.997392447,-0.540502732,-0.540502732,-0.435162819,557,42,no
108,184,979,b_item979_set434_wit_lvl0_comp3_t690_song54,1,b_item979_set434_wit_lvl0_comp3_t690_song54.wav,1,22,12,0,Bass,3,yes,690,54,no,Bass_ItemNr(979)_SetNr(434)_WiT_Level(-15)_Complexity(3)_Time(690)_SongNr(54).wav,46,2.086082357,0.43384494,0.997392447,-0.709763152,-0.709763152,-0.435162819,557,83,no
109,196,2125,b_item2125_set895_wit_lvl0_comp3_t16_song68,1,b_item2125_set895_wit_lvl0_comp3_t16_song68.wav,1,22,12,0,Bass,3,yes,16,68,no,Bass_ItemNr(2125)_SetNr(895)_WiT_Level(-15)_Complexity(3)_Time(16)_SongNr(68).wav,49,2.086082357,0.43384494,0.997392447,-0.816555946,-0.816555946,-0.435162819,557,38,no
110,204,358,b_item358_set150_wit_lvl0_comp3_t8_song79,1,b_item358_set150_wit_lvl0_comp3_t8_song79.wav,1,22,12,0,Bass,3,yes,8,79,no,Bass_ItemNr(358)_SetNr(150)_WiT_Level(-15)_Complexity(3)_Time(8)_SongNr(79).wav,51,2.086082357,0.43384494,0.997392447,0.778142763,0.778142763,-0.435162819,557,63,no
111,208,811,b_item811_set364_wit_lvl0_comp3_t18_song80,1,b_item811_set364_wit_lvl0_comp3_t18_song80.wav,1,22,12,0,Bass,3,yes,18,80,no,Bass_ItemNr(811)_SetNr(364)_WiT_Level(-15)_Complexity(3)_Time(18)_SongNr(80).wav,52,2.086082357,0.43384494,0.997392447,-0.045242507,-0.045242507,-0.435162819,557,105,no
112,216,626,b_item626_set268_wit_lvl0_comp3_t10_song82,1,b_item626_set268_wit_lvl0_comp3_t10_song82.wav,1,22,12,0,Bass,3,yes,10,82,no,Bass_ItemNr(626)_SetNr(268)_WiT_Level(-15)_Complexity(3)_Time(10)_SongNr(82).wav,54,2.086082357,0.43384494,0.997392447,-0.338927578,-0.338927578,-0.435162819,557,38,no
113,252,1693,b_item1693_set741_wit_lvl0_comp3_t350_song98,1,b_item1693_set741_wit_lvl0_comp3_t350_song98.wav,1,22,12,0,Bass,3,yes,350,98,no,Bass_ItemNr(1693)_SetNr(741)_WiT_Level(-15)_Complexity(3)_Time(350)_SongNr(98).wav,63,2.086082357,0.43384494,0.997392447,-0.198499991,-0.198499991,-0.435162819,557,48,no
114,256,876,b_item876_set387_wit_lvl0_comp3_t234_song99,1,b_item876_set387_wit_lvl0_comp3_t234_song99.wav,1,22,12,0,Bass,3,yes,234,99,no,Bass_ItemNr(876)_SetNr(387)_WiT_Level(-15)_Complexity(3)_Time(234)_SongNr(99).wav,64,2.086082357,0.43384494,0.997392447,-1.507592182,-1.507592182,-0.435162819,557,41,no
115,260,333,b_item333_set137_wit_lvl0_comp3_t148_song100,1,b_item333_set137_wit_lvl0_comp3_t148_song100.wav,1,22,12,0,Bass,3,yes,148,100,no,Bass_ItemNr(333)_SetNr(137)_WiT_Level(-15)_Complexity(3)_Time(148)_SongNr(100).wav,65,2.086082357,0.43384494,0.997392447,-0.125740375,-0.125740375,-0.435162819,557,52,no
116,320,959,b_item959_set423_wit_lvl0_comp3_t18_song117,1,b_item959_set423_wit_lvl0_comp3_t18_song117.wav,1,22,12,0,Bass,3,yes,18,117,no,Bass_ItemNr(959)_SetNr(423)_WiT_Level(-15)_Complexity(3)_Time(18)_SongNr(117).wav,80,2.086082357,0.43384494,0.997392447,-0.352176493,-0.352176493,-0.435162819,557,47,no
117,24,3211,voc_item3211_set776_wit_lvl0_comp6_t408_song5,1,voc_item3211_set776_wit_lvl0_comp6_t408_song5.wav,1,5,13,0,Lead,6,yes,408,5,no,Lead_ItemNr(3211)_SetNr(776)_WiT_Level(-15)_Complexity(6)_Time(408)_SongNr(5).wav,6,2.086082357,0.43384494,0.997392447,-1.53601005,-1.53601005,-1.72228822,716,41,no
118,40,2528,voc_item2528_set496_wit_lvl0_comp6_t232_song14,1,voc_item2528_set496_wit_lvl0_comp6_t232_song14.wav,1,5,13,0,Lead,6,yes,232,14,no,Lead_ItemNr(2528)_SetNr(496)_WiT_Level(-15)_Complexity(6)_Time(232)_SongNr(14).wav,10,2.086082357,0.43384494,0.997392447,-2.079070472,-2.079070472,-1.72228822,716,98,no
119,84,933,voc_item933_set165_wit_lvl0_comp6_t110_song33,1,voc_item933_set165_wit_lvl0_comp6_t110_song33.wav,1,5,13,0,Lead,6,yes,110,33,no,Lead_ItemNr(933)_SetNr(165)_WiT_Level(-15)_Complexity(6)_Time(110)_SongNr(33).wav,21,2.086082357,0.43384494,0.997392447,-2.113913895,-2.113913895,-1.72228822,716,51,no
120,120,2639,voc_item2639_set536_wit_lvl0_comp6_t172_song39,1,voc_item2639_set536_wit_lvl0_comp6_t172_song39.wav,1,5,13,0,Lead,6,yes,172,39,no,Lead_ItemNr(2639)_SetNr(536)_WiT_Level(-15)_Complexity(6)_Time(172)_SongNr(39).wav,30,2.086082357,0.43384494,0.997392447,-2.531608314,-2.531608314,-1.72228822,716,39,no
121,148,594,voc_item594_set105_wit_lvl0_comp6_t140_song48,1,voc_item594_set105_wit_lvl0_comp6_t140_song48.wav,1,5,13,0,Lead,6,yes,140,48,no,Lead_ItemNr(594)_SetNr(105)_WiT_Level(-15)_Complexity(6)_Time(140)_SongNr(48).wav,37,2.086082357,0.43384494,0.997392447,-2.150932202,-2.150932202,-1.72228822,716,58,no
122,156,181,voc_item181_set035_wit_lvl0_comp6_t102_song49,1,voc_item181_set035_wit_lvl0_comp6_t102_song49.wav,1,5,13,0,Lead,6,yes,102,49,no,Lead_ItemNr(181)_SetNr(035)_WiT_Level(-15)_Complexity(6)_Time(102)_SongNr(49).wav,39,2.086082357,0.43384494,0.997392447,-0.49616817,-0.49616817,-1.72228822,716,111,no
123,164,3032,voc_item3032_set693_wit_lvl0_comp6_t70_song52,1,voc_item3032_set693_wit_lvl0_comp6_t70_song52.wav,1,5,13,0,Lead,6,yes,70,52,no,Lead_ItemNr(3032)_SetNr(693)_WiT_Level(-15)_Complexity(6)_Time(70)_SongNr(52).wav,41,2.086082357,0.43384494,0.997392447,-2.870407919,-2.870407919,-1.72228822,716,39,no
124,172,253,voc_item253_set049_wit_lvl0_comp6_t102_song53,1,voc_item253_set049_wit_lvl0_comp6_t102_song53.wav,1,5,13,0,Lead,6,yes,102,53,no,Lead_ItemNr(253)_SetNr(049)_WiT_Level(-15)_Complexity(6)_Time(102)_SongNr(53).wav,43,2.086082357,0.43384494,0.997392447,-2.4543379,-2.4543379,-1.72228822,716,58,no
125,248,2577,voc_item2577_set518_wit_lvl0_comp6_t46_song97,1,voc_item2577_set518_wit_lvl0_comp6_t46_song97.wav,1,5,13,0,Lead,6,yes,46,97,no,Lead_ItemNr(2577)_SetNr(518)_WiT_Level(-15)_Complexity(6)_Time(46)_SongNr(97).wav,62,2.086082357,0.43384494,0.997392447,-2.977375601,-2.977375601,-1.72228822,716,36,no
126,292,2549,voc_item2549_set507_wit_lvl0_comp6_t186_song111,1,voc_item2549_set507_wit_lvl0_comp6_t186_song111.wav,1,5,13,0,Lead,6,yes,186,111,no,Lead_ItemNr(2549)_SetNr(507)_WiT_Level(-15)_Complexity(6)_Time(186)_SongNr(111).wav,73,2.086082357,0.43384494,0.997392447,-2.126146937,-2.126146937,-1.72228822,716,59,no
127,337,2330,voc_Item2330_set427_wot_lvl0_comp7_t100_song19-exception,1,voc_Item2330_set427_wot_lvl0_comp7_t100_song19.wav,1,5,13,0,Lead,6,yes,100,19,yes,Lead_ItemNr(2330)_SetNr(427)_WoT_Level(0)_Complexity(7)_Time(100)_SongNr(19).wav,97,2.086082357,0.43384494,0.997392447,-0.119212629,-0.119212629,-1.72228822,716,126,no
128,8,3626,git_item3626_set1047_wit_lvl0_comp6_t36_song1,1,git_item3626_set1047_wit_lvl0_comp6_t36_song1.wav,1,8,14,0,Guitar,6,yes,36,1,no,Guitar_ItemNr(3626)_SetNr(1047)_WiT_Level(-15)_Complexity(6)_Time(36)_SongNr(1).wav,2,2.086082357,0.43384494,0.997392447,-1.278481989,-1.278481989,-1.522274506,532,69,no
129,16,739,git_item739_set228_wit_lvl0_comp6_t140_song3,1,git_item739_set228_wit_lvl0_comp6_t140_song3.wav,1,8,14,0,Guitar,6,yes,140,3,no,Guitar_ItemNr(739)_SetNr(228)_WiT_Level(-15)_Complexity(6)_Time(140)_SongNr(3).wav,4,2.086082357,0.43384494,0.997392447,-1.497956528,-1.497956528,-1.522274506,532,45,no
130,80,2876,git_item2876_set943_wit_lvl0_comp6_t138_song33,1,git_item2876_set943_wit_lvl0_comp6_t138_song33.wav,1,8,14,0,Guitar,6,yes,138,33,no,Guitar_ItemNr(2876)_SetNr(943)_WiT_Level(-15)_Complexity(6)_Time(138)_SongNr(33).wav,20,2.086082357,0.43384494,0.997392447,-2.070694133,-2.070694133,-1.522274506,532,83,no
131,92,3250,git_item3250_set988_wit_lvl0_comp6_t232_song34,1,git_item3250_set988_wit_lvl0_comp6_t232_song34.wav,1,8,14,0,Guitar,6,yes,232,34,no,Guitar_ItemNr(3250)_SetNr(988)_WiT_Level(-15)_Complexity(6)_Time(232)_SongNr(34).wav,23,2.086082357,0.43384494,0.997392447,-1.389934731,-1.389934731,-1.522274506,532,47,no
