audio_file,item_nr,original_item_nr,set_nr,answer,correct,condition,condition_theoretical,level,target_instrument,complexity,with_target_in_mix,time_song,song_nr,song_name,practice_item,discrimination,guessing,inattention,difficulty,item_difficulty,condition_difficulty,number_of_datapoints_per_cond,number_of_datapoints_per_item,time_start_Hz,time_end_Hz,time_start_sec,time_end_sec,instrument_lead,instrument_guitar,instrument_piano,instrument_keys,instrument_backing_vocals,instrument_strings,instrument_winds,instrument_bass,instrument_drums,instrument_percussions,instrument_others,used_in_160er,used_in_32er,used_in_package,flagged_item,item_nr_stim,original_audio_file,item_number
p_item1402_set130_wit_lvl-10_comp6_t84_song2.wav,291,10,3,1,1,18,31,-10,Piano,6,yes,84,2,Aimee_Norwich-Child,no,2.086082357,0.43384494,0.997392447,-0.259531329,-0.259531329,-0.598324402,651,53,3704401,3792600,84,86,1,1,1,0,1,0,0,1,1,0,0,yes,yes,yes,no,1402,Piano_ItemNr(1402)_SetNr(130)_WiT_Level(-10)_Complexity(6)_Time(84)_SongNr(2).wav,git_item71_set021_wit_lvl-10_comp6_t122_song110
p_item1402_set130_wit_lvl0_comp6_t84_song2.wav,138,12,3,1,1,4,15,0,Piano,6,yes,84,2,Aimee_Norwich-Child,no,2.086082357,0.43384494,0.997392447,-1.361967344,-1.361967344,-1.703696714,672,89,3704401,3792600,84,86,1,1,1,0,1,0,0,1,1,0,0,yes,yes,yes,no,1402,Piano_ItemNr(1402)_SetNr(130)_WiT_Level(0)_Complexity(6)_Time(84)_SongNr(2).wav,git_item71_set021_wit_lvl0_comp6_t122_song110
voc_item2763_set588_wot_lvl0_comp4_t54_song2.wav,1,321,81,2,2,13,1,0,Lead,3,no,54,2,Aimee_Norwich-Child,no,2.086082357,0.43384494,0.997392447,-1.1292963,-1.1292963,-1.259999631,2322,179,2381401,2469600,54,56,1,1,0,0,0,0,0,1,1,0,0,yes,yes,yes,no,2763,Lead_ItemNr(2763)_SetNr(588)_WoT_Level(0)_Complexity(4)_Time(54)_SongNr(2).wav,voc_item2763_set588_wot_lvl0_comp4_t54_song2
p_item3048_set353_wot_lvl0_comp4_t152_song2.wav,21,322,82,2,2,24,3,0,Piano,3,no,152,2,Aimee_Norwich-Child,no,2.086082357,0.43384494,0.997392447,-0.74019976,-0.74019976,-0.152546894,2322,184,6703201,6791400,152,154,0,1,1,0,0,0,0,1,1,0,0,yes,yes,yes,no,3048,Piano_ItemNr(3048)_SetNr(353)_WoT_Level(0)_Complexity(4)_Time(152)_SongNr(2).wav,p_item3048_set353_wot_lvl0_comp4_t152_song2
git_item739_set228_wit_lvl0_comp6_t140_song3.wav,129,16,4,1,1,8,14,0,Guitar,6,yes,140,3,Aimee_Norwich-Flying,no,2.086082357,0.43384494,0.997392447,-1.497956528,-1.497956528,-1.522274506,532,45,6174001,6262200,140,142,0,1,1,0,0,1,1,1,1,0,0,yes,yes,yes,no,739,Guitar_ItemNr(739)_SetNr(228)_WiT_Level(0)_Complexity(6)_Time(140)_SongNr(3).wav,git_item3626_set1047_wit_lvl0_comp6_t36_song1
p_item3212_set395_wit_lvl-5_comp6_t106_song3.wav,177,19,5,1,1,10,19,-5,Piano,6,yes,106,3,Aimee_Norwich-Flying,no,2.086082357,0.43384494,0.997392447,-1.434273946,-1.434273946,-1.314362693,544,116,4674601,4762800,106,108,0,1,1,0,0,1,1,1,1,0,0,yes,yes,yes,no,3212,Piano_ItemNr(3212)_SetNr(395)_WiT_Level(-5)_Complexity(6)_Time(106)_SongNr(3).wav,p_item1402_set130_wit_lvl-5_comp6_t84_song2
git_item739_set228_wit_lvl-5_comp6_t140_song3.wav,167,15,4,1,1,12,18,-5,Guitar,6,yes,140,3,Aimee_Norwich-Flying,no,2.086082357,0.43384494,0.997392447,-1.072857553,-1.072857553,-1.134188886,555,45,6174001,6262200,140,142,0,1,1,0,0,1,1,1,1,0,0,yes,yes,yes,no,739,Guitar_ItemNr(739)_SetNr(228)_WiT_Level(-5)_Complexity(6)_Time(140)_SongNr(3).wav,git_item3626_set1047_wit_lvl-5_comp6_t36_song1
p_item3212_set395_wit_lvl-15_comp6_t106_song3.wav,365,17,5,1,1,34,39,-15,Piano,6,yes,106,3,Aimee_Norwich-Flying,no,2.086082357,0.43384494,0.997392447,0.06672763,0.06672763,0.528578003,558,44,4674601,4762800,106,108,0,1,1,0,0,1,1,1,1,0,0,yes,yes,yes,no,3212,Piano_ItemNr(3212)_SetNr(395)_WiT_Level(-15)_Complexity(6)_Time(106)_SongNr(3).wav,p_item1402_set130_wit_lvl-15_comp6_t84_song2
git_item739_set228_wit_lvl-10_comp6_t140_song3.wav,282,14,4,1,1,21,30,-10,Guitar,6,yes,140,3,Aimee_Norwich-Flying,no,2.086082357,0.43384494,0.997392447,-0.59530105,-0.59530105,-0.421226975,570,43,6174001,6262200,140,142,0,1,1,0,0,1,1,1,1,0,0,yes,yes,yes,no,739,Guitar_ItemNr(739)_SetNr(228)_WiT_Level(-10)_Complexity(6)_Time(140)_SongNr(3).wav,git_item3626_set1047_wit_lvl-10_comp6_t36_song1
git_item739_set228_wit_lvl-15_comp6_t140_song3.wav,355,13,4,1,1,36,38,-15,Guitar,6,yes,140,3,Aimee_Norwich-Flying,no,2.086082357,0.43384494,0.997392447,0.378817358,0.378817358,0.703995531,597,37,6174001,6262200,140,142,0,1,1,0,0,1,1,1,1,0,0,yes,yes,yes,no,739,Guitar_ItemNr(739)_SetNr(228)_WiT_Level(-15)_Complexity(6)_Time(140)_SongNr(3).wav,git_item3626_set1047_wit_lvl-15_comp6_t36_song1
