item_number,correct,audio_file,set_nr,level,target_instrument,complexity,with_target_in_mix,condition,time_song,song_nr,item_nr,practice_item,old_audio_file_name
voc_item181_set035_wit_lvl-15_comp6_t102_song49,1,voc_item181_set035_wit_lvl-15_comp6_t102_song49.wav,35,-15,Lead,6,yes,37,102,49,181,no,Lead_ItemNr(181)_SetNr(035)_WiT_Level(-15)_Complexity(6)_Time(102)_SongNr(49).wav
voc_item181_set035_wit_lvl-10_comp6_t102_song49,1,voc_item181_set035_wit_lvl-10_comp6_t102_song49.wav,35,-10,Lead,6,yes,29,102,49,181,no,Lead_ItemNr(181)_SetNr(035)_WiT_Level(-15)_Complexity(6)_Time(102)_SongNr(49).wav
voc_item181_set035_wit_lvl-5_comp6_t102_song49,1,voc_item181_set035_wit_lvl-5_comp6_t102_song49.wav,35,-5,Lead,6,yes,17,102,49,181,no,Lead_ItemNr(181)_SetNr(035)_WiT_Level(-15)_Complexity(6)_Time(102)_SongNr(49).wav
voc_item181_set035_wit_lvl0_comp6_t102_song49,1,voc_item181_set035_wit_lvl0_comp6_t102_song49.wav,35,0,Lead,6,yes,13,102,49,181,no,Lead_ItemNr(181)_SetNr(035)_WiT_Level(-15)_Complexity(6)_Time(102)_SongNr(49).wav
voc_item253_set049_wit_lvl-15_comp6_t102_song53,1,voc_item253_set049_wit_lvl-15_comp6_t102_song53.wav,49,-15,Lead,6,yes,37,102,53,253,no,Lead_ItemNr(253)_SetNr(049)_WiT_Level(-15)_Complexity(6)_Time(102)_SongNr(53).wav
voc_item253_set049_wit_lvl-10_comp6_t102_song53,1,voc_item253_set049_wit_lvl-10_comp6_t102_song53.wav,49,-10,Lead,6,yes,29,102,53,253,no,Lead_ItemNr(253)_SetNr(049)_WiT_Level(-15)_Complexity(6)_Time(102)_SongNr(53).wav
voc_item253_set049_wit_lvl-5_comp6_t102_song53,1,voc_item253_set049_wit_lvl-5_comp6_t102_song53.wav,49,-5,Lead,6,yes,17,102,53,253,no,Lead_ItemNr(253)_SetNr(049)_WiT_Level(-15)_Complexity(6)_Time(102)_SongNr(53).wav
voc_item253_set049_wit_lvl0_comp6_t102_song53,1,voc_item253_set049_wit_lvl0_comp6_t102_song53.wav,49,0,Lead,6,yes,13,102,53,253,no,Lead_ItemNr(253)_SetNr(049)_WiT_Level(-15)_Complexity(6)_Time(102)_SongNr(53).wav
voc_item933_set165_wit_lvl-15_comp6_t110_song33,1,voc_item933_set165_wit_lvl-15_comp6_t110_song33.wav,165,-15,Lead,6,yes,37,110,33,933,no,Lead_ItemNr(933)_SetNr(165)_WiT_Level(-15)_Complexity(6)_Time(110)_SongNr(33).wav
voc_item933_set165_wit_lvl-10_comp6_t110_song33,1,voc_item933_set165_wit_lvl-10_comp6_t110_song33.wav,165,-10,Lead,6,yes,29,110,33,933,no,Lead_ItemNr(933)_SetNr(165)_WiT_Level(-15)_Complexity(6)_Time(110)_SongNr(33).wav
